area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西北,0.90,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,菜花,甘肃,none,2018-08-15,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.80,菜花,甘肃,none,2018-08-11,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.80,菜花,甘肃,none,2018-08-08,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.80,菜花,甘肃,none,2018-08-07,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,0.80,菜花,甘肃,none,2018-08-06,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,0.80,菜花,甘肃,none,2018-08-05,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,0.80,菜花,甘肃,none,2018-08-04,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,0.80,菜花,甘肃,none,2018-08-03,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,0.80,菜花,甘肃,none,2018-08-02,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,0.80,菜花,甘肃,none,2018-08-01,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,0.80,菜花,甘肃,none,2018-07-31,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.80,0.50,菜花,甘肃,none,2018-07-15,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.80,0.50,菜花,甘肃,none,2018-07-14,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.80,0.50,菜花,甘肃,none,2018-07-07,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,菜花,甘肃,none,2018-07-01,蔬菜,元/斤
西北,1.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,1.00,菜花,甘肃,none,2018-06-23,蔬菜,元/斤
西北,2.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,3.00,2.50,菜花,甘肃,none,2018-06-10,蔬菜,元/斤
西北,3.25,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,3.50,3.00,菜花,甘肃,none,2018-06-03,蔬菜,元/斤
西北,2.25,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.30,2.20,菜花,甘肃,none,2018-05-29,蔬菜,元/斤
西北,2.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.20,1.80,菜花,甘肃,none,2018-05-20,蔬菜,元/斤
西北,2.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.80,菜花,甘肃,none,2018-05-16,蔬菜,元/斤
西北,2.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.80,菜花,甘肃,none,2018-05-08,蔬菜,元/斤
西北,2.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.80,菜花,甘肃,none,2018-05-06,蔬菜,元/斤
西北,1.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.90,菜花,甘肃,none,2018-05-03,蔬菜,元/斤
西北,1.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.90,菜花,甘肃,none,2018-05-02,蔬菜,元/斤
西北,0.55,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.60,0.50,青椒,甘肃,none,2018-08-15,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.90,0.70,青椒,甘肃,none,2018-08-11,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.70,青椒,甘肃,none,2018-08-08,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.70,青椒,甘肃,none,2018-08-07,蔬菜,元/斤
西北,0.90,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.80,青椒,甘肃,none,2018-08-06,蔬菜,元/斤
西北,0.90,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.80,青椒,甘肃,none,2018-08-05,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.80,青椒,甘肃,none,2018-08-04,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.80,青椒,甘肃,none,2018-08-03,蔬菜,元/斤
西北,1.10,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,1.00,青椒,甘肃,none,2018-08-02,蔬菜,元/斤
西北,1.10,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,1.00,青椒,甘肃,none,2018-08-01,蔬菜,元/斤
西北,1.10,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,1.00,青椒,甘肃,none,2018-07-31,蔬菜,元/斤
西北,1.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,1.00,青椒,甘肃,none,2018-07-15,蔬菜,元/斤
西北,1.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,1.00,青椒,甘肃,none,2018-07-14,蔬菜,元/斤
西北,1.70,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.80,1.50,青椒,甘肃,none,2018-07-07,蔬菜,元/斤
西北,1.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.90,青椒,甘肃,none,2018-07-01,蔬菜,元/斤
西北,2.20,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.30,2.00,青椒,甘肃,none,2018-06-23,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.80,1.50,青椒,甘肃,none,2018-06-10,蔬菜,元/斤
西北,1.85,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.75,青椒,甘肃,none,2018-06-03,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.90,1.70,青椒,甘肃,none,2018-05-29,蔬菜,元/斤
西北,1.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.80,1.20,青椒,甘肃,none,2018-05-20,蔬菜,元/斤
西北,1.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.80,1.00,青椒,甘肃,none,2018-05-16,蔬菜,元/斤
西北,1.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.80,1.00,青椒,甘肃,none,2018-05-08,蔬菜,元/斤
西北,1.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.00,青椒,甘肃,none,2018-05-06,蔬菜,元/斤
西北,1.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.00,青椒,甘肃,none,2018-05-03,蔬菜,元/斤
西北,1.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.00,青椒,甘肃,none,2018-05-02,蔬菜,元/斤
西北,1.10,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.90,黄瓜,甘肃,none,2018-08-15,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.10,0.50,黄瓜,甘肃,none,2018-08-11,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.50,黄瓜,甘肃,none,2018-08-08,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.50,黄瓜,甘肃,none,2018-08-07,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.50,黄瓜,甘肃,none,2018-08-06,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.50,黄瓜,甘肃,none,2018-08-05,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,黄瓜,甘肃,none,2018-08-04,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,黄瓜,甘肃,none,2018-08-03,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,黄瓜,甘肃,none,2018-08-02,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,黄瓜,甘肃,none,2018-08-01,蔬菜,元/斤
西北,1.10,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.30,1.00,黄瓜,甘肃,none,2018-07-31,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.30,0.80,黄瓜,甘肃,none,2018-07-15,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.30,0.80,黄瓜,甘肃,none,2018-07-14,蔬菜,元/斤
西北,0.70,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,黄瓜,甘肃,none,2018-07-01,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.80,0.50,黄瓜,甘肃,none,2018-06-23,蔬菜,元/斤
西北,0.70,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,黄瓜,甘肃,none,2018-06-10,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.80,黄瓜,甘肃,none,2018-06-03,蔬菜,元/斤
西北,1.10,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.30,1.00,黄瓜,甘肃,none,2018-05-29,蔬菜,元/斤
西北,0.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.80,黄瓜,甘肃,none,2018-05-20,蔬菜,元/斤
西北,0.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.90,黄瓜,甘肃,none,2018-05-16,蔬菜,元/斤
西北,0.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.90,黄瓜,甘肃,none,2018-05-08,蔬菜,元/斤
西北,1.05,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,1.00,黄瓜,甘肃,none,2018-05-06,蔬菜,元/斤
西北,1.05,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,1.00,黄瓜,甘肃,none,2018-05-03,蔬菜,元/斤
西北,1.05,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,1.00,黄瓜,甘肃,none,2018-05-02,蔬菜,元/斤
西北,1.05,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,1.00,黄瓜,甘肃,none,2018-04-28,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.70,西红柿,甘肃,none,2018-08-15,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.10,0.50,西红柿,甘肃,none,2018-08-11,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.50,西红柿,甘肃,none,2018-08-08,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.50,西红柿,甘肃,none,2018-08-07,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.50,西红柿,甘肃,none,2018-08-06,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,西红柿,甘肃,none,2018-08-05,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,西红柿,甘肃,none,2018-08-04,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,西红柿,甘肃,none,2018-08-03,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,西红柿,甘肃,none,2018-08-02,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,西红柿,甘肃,none,2018-08-01,蔬菜,元/斤
西北,1.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,1.00,西红柿,甘肃,none,2018-07-31,蔬菜,元/斤
西北,1.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.70,1.30,西红柿,甘肃,none,2018-07-15,蔬菜,元/斤
西北,1.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.70,1.30,西红柿,甘肃,none,2018-07-14,蔬菜,元/斤
西北,1.40,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.80,1.20,西红柿,甘肃,none,2018-07-07,蔬菜,元/斤
西北,1.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,1.20,西红柿,甘肃,none,2018-07-01,蔬菜,元/斤
西北,1.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,1.00,西红柿,甘肃,none,2018-06-23,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.50,西红柿,甘肃,none,2018-06-10,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.50,西红柿,甘肃,none,2018-06-03,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.50,西红柿,甘肃,none,2018-05-29,蔬菜,元/斤
西北,1.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.80,1.00,西红柿,甘肃,none,2018-05-20,蔬菜,元/斤
西北,1.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.80,1.00,西红柿,甘肃,none,2018-05-16,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.20,1.50,西红柿,甘肃,none,2018-05-08,蔬菜,元/斤
西北,2.25,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,3.00,2.00,西红柿,甘肃,none,2018-05-06,蔬菜,元/斤
西北,2.25,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,3.00,2.00,西红柿,甘肃,none,2018-05-03,蔬菜,元/斤
西北,2.25,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,3.00,2.00,西红柿,甘肃,none,2018-05-02,蔬菜,元/斤
西北,0.40,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.50,0.30,西葫芦,甘肃,none,2018-08-15,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,西葫芦,甘肃,none,2018-08-11,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,西葫芦,甘肃,none,2018-08-08,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,西葫芦,甘肃,none,2018-08-07,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.50,西葫芦,甘肃,none,2018-08-06,蔬菜,元/斤
西北,0.75,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.80,0.60,西葫芦,甘肃,none,2018-08-05,蔬菜,元/斤
西北,0.40,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.50,0.30,西葫芦,甘肃,none,2018-08-04,蔬菜,元/斤
西北,0.40,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.50,0.30,西葫芦,甘肃,none,2018-08-03,蔬菜,元/斤
西北,0.40,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.50,0.30,西葫芦,甘肃,none,2018-08-02,蔬菜,元/斤
西北,0.40,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.50,0.30,西葫芦,甘肃,none,2018-08-01,蔬菜,元/斤
西北,0.40,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.50,0.30,西葫芦,甘肃,none,2018-07-31,蔬菜,元/斤
西北,0.70,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.90,0.60,西葫芦,甘肃,none,2018-07-15,蔬菜,元/斤
西北,0.70,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.90,0.60,西葫芦,甘肃,none,2018-07-14,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.80,0.50,西葫芦,甘肃,none,2018-06-23,蔬菜,元/斤
西北,0.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.80,0.50,西葫芦,甘肃,none,2018-06-10,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.80,西葫芦,甘肃,none,2018-06-03,蔬菜,元/斤
西北,1.35,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.40,1.30,西葫芦,甘肃,none,2018-05-29,蔬菜,元/斤
西北,0.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.90,西葫芦,甘肃,none,2018-05-20,蔬菜,元/斤
西北,1.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.40,1.20,西葫芦,甘肃,none,2018-05-16,蔬菜,元/斤
西北,0.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.90,西葫芦,甘肃,none,2018-05-08,蔬菜,元/斤
西北,1.25,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.30,1.20,西葫芦,甘肃,none,2018-05-06,蔬菜,元/斤
西北,1.25,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.30,1.20,西葫芦,甘肃,none,2018-05-03,蔬菜,元/斤
西北,1.25,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.30,1.20,西葫芦,甘肃,none,2018-05-02,蔬菜,元/斤
西北,1.45,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,1.40,西葫芦,甘肃,none,2018-04-28,蔬菜,元/斤
西北,1.40,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,1.30,西葫芦,甘肃,none,2018-04-27,蔬菜,元/斤
西北,2.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.50,1.50,油菜,甘肃,none,2018-08-17,蔬菜,元/斤
西北,2.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.50,2.00,油菜,甘肃,none,2018-08-15,蔬菜,元/斤
西北,2.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.50,2.00,油菜,甘肃,none,2018-08-11,蔬菜,元/斤
西北,1.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.00,油菜,甘肃,none,2018-08-08,蔬菜,元/斤
西北,1.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.00,油菜,甘肃,none,2018-08-07,蔬菜,元/斤
西北,2.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,3.00,2.00,油菜,甘肃,none,2018-08-06,蔬菜,元/斤
西北,2.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,3.00,2.00,油菜,甘肃,none,2018-08-05,蔬菜,元/斤
西北,2.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,3.00,2.00,油菜,甘肃,none,2018-08-04,蔬菜,元/斤
西北,2.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,3.00,2.00,油菜,甘肃,none,2018-08-03,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.50,油菜,甘肃,none,2018-08-02,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.50,油菜,甘肃,none,2018-08-01,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.50,油菜,甘肃,none,2018-07-31,蔬菜,元/斤
西北,1.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.80,1.30,油菜,甘肃,none,2018-07-15,蔬菜,元/斤
西北,1.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.80,1.30,油菜,甘肃,none,2018-07-14,蔬菜,元/斤
西北,2.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.50,2.00,油菜,甘肃,none,2018-07-07,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,0.80,油菜,甘肃,none,2018-07-01,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,0.80,油菜,甘肃,none,2018-06-23,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,0.80,油菜,甘肃,none,2018-06-10,蔬菜,元/斤
西北,1.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,0.80,油菜,甘肃,none,2018-06-03,蔬菜,元/斤
西北,1.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,0.80,油菜,甘肃,none,2018-05-31,蔬菜,元/斤
西北,1.30,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.50,1.00,油菜,甘肃,none,2018-05-29,蔬菜,元/斤
西北,1.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.20,0.80,油菜,甘肃,none,2018-05-20,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.50,油菜,甘肃,none,2018-05-16,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.50,油菜,甘肃,none,2018-05-15,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.50,油菜,甘肃,none,2018-05-14,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.70,0.40,大白菜,甘肃,none,2018-08-17,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.70,0.40,大白菜,甘肃,none,2018-08-16,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.70,0.40,大白菜,甘肃,none,2018-08-15,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.70,0.40,大白菜,甘肃,none,2018-08-11,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.70,0.40,大白菜,甘肃,none,2018-08-10,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.70,0.40,大白菜,甘肃,none,2018-08-08,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.70,0.40,大白菜,甘肃,none,2018-08-07,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.70,0.40,大白菜,甘肃,none,2018-08-06,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.70,0.40,大白菜,甘肃,none,2018-08-05,蔬菜,元/斤
西北,0.70,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.80,0.50,大白菜,甘肃,none,2018-08-04,蔬菜,元/斤
西北,0.70,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.80,0.50,大白菜,甘肃,none,2018-08-03,蔬菜,元/斤
西北,0.70,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.80,0.50,大白菜,甘肃,none,2018-08-02,蔬菜,元/斤
西北,0.70,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.80,0.50,大白菜,甘肃,none,2018-08-01,蔬菜,元/斤
西北,0.70,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.80,0.50,大白菜,甘肃,none,2018-07-31,蔬菜,元/斤
西北,0.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.60,0.40,大白菜,甘肃,none,2018-07-15,蔬菜,元/斤
西北,0.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.60,0.40,大白菜,甘肃,none,2018-07-14,蔬菜,元/斤
西北,0.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.60,0.40,大白菜,甘肃,none,2018-07-07,蔬菜,元/斤
西北,0.60,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.70,0.50,大白菜,甘肃,none,2018-07-01,蔬菜,元/斤
西北,0.55,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,0.60,0.50,大白菜,甘肃,none,2018-06-23,蔬菜,元/斤
西北,0.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.90,大白菜,甘肃,none,2018-06-10,蔬菜,元/斤
西北,0.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.90,大白菜,甘肃,none,2018-06-03,蔬菜,元/斤
西北,0.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.90,大白菜,甘肃,none,2018-05-31,蔬菜,元/斤
西北,0.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.90,大白菜,甘肃,none,2018-05-29,蔬菜,元/斤
西北,0.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.90,大白菜,甘肃,none,2018-05-20,蔬菜,元/斤
西北,0.95,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,1.00,0.90,大白菜,甘肃,none,2018-05-16,蔬菜,元/斤
西北,2.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.50,1.50,茼蒿,甘肃,none,2018-08-15,蔬菜,元/斤
西北,2.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.50,1.50,茼蒿,甘肃,none,2018-08-11,蔬菜,元/斤
西北,2.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,3.00,2.00,茼蒿,甘肃,none,2018-08-08,蔬菜,元/斤
西北,2.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,3.00,2.00,茼蒿,甘肃,none,2018-08-07,蔬菜,元/斤
西北,2.50,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,3.00,2.00,茼蒿,甘肃,none,2018-08-06,蔬菜,元/斤
西北,2.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.50,1.50,茼蒿,甘肃,none,2018-08-05,蔬菜,元/斤
西北,2.00,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.50,1.50,茼蒿,甘肃,none,2018-08-04,蔬菜,元/斤
西北,1.80,none,2018-08-24,甘肃酒泉春光农产品市场有限责任公司,2.00,1.50,茼蒿,甘肃,none,2018-08-03,蔬菜,元/斤
