area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-08-03,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-08-02,蔬菜,元/斤
华北,0.85,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-08-01,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-07-31,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-07-15,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-05-29,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-05-25,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-05-24,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-05-23,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-05-22,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-05-16,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-05-15,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-05-14,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-05-08,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,土豆,内蒙古,none,2018-05-03,蔬菜,元/斤
华北,5.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-08-23,蔬菜,元/斤
华北,3.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-08-22,蔬菜,元/斤
华北,2.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-08-20,蔬菜,元/斤
华北,2.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-08-15,蔬菜,元/斤
华北,2.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-08-08,蔬菜,元/斤
华北,2.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-08-07,蔬菜,元/斤
华北,2.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-08-06,蔬菜,元/斤
华北,2.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-08-03,蔬菜,元/斤
华北,2.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-08-02,蔬菜,元/斤
华北,2.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-08-01,蔬菜,元/斤
华北,3.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-07-31,蔬菜,元/斤
华北,3.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-07-15,蔬菜,元/斤
华北,4.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-05-29,蔬菜,元/斤
华北,3.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-05-25,蔬菜,元/斤
华北,3.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-05-24,蔬菜,元/斤
华北,3.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-05-16,蔬菜,元/斤
华北,3.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-05-08,蔬菜,元/斤
华北,3.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-05-03,蔬菜,元/斤
华北,3.70,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-05-02,蔬菜,元/斤
华北,4.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-04-28,蔬菜,元/斤
华北,3.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-04-27,蔬菜,元/斤
华北,3.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-04-25,蔬菜,元/斤
华北,3.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-04-24,蔬菜,元/斤
华北,4.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-04-20,蔬菜,元/斤
华北,4.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,豆角,内蒙古,none,2018-04-19,蔬菜,元/斤
华北,2.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-08-24,蔬菜,元/斤
华北,2.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-08-23,蔬菜,元/斤
华北,1.70,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-08-22,蔬菜,元/斤
华北,1.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-08-20,蔬菜,元/斤
华北,1.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-08-15,蔬菜,元/斤
华北,1.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-08-08,蔬菜,元/斤
华北,1.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-08-07,蔬菜,元/斤
华北,1.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-08-06,蔬菜,元/斤
华北,1.10,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-08-03,蔬菜,元/斤
华北,1.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-08-02,蔬菜,元/斤
华北,1.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-08-01,蔬菜,元/斤
华北,1.30,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-07-31,蔬菜,元/斤
华北,1.30,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-07-15,蔬菜,元/斤
华北,1.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-05-29,蔬菜,元/斤
华北,1.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-05-25,蔬菜,元/斤
华北,1.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-05-24,蔬菜,元/斤
华北,1.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-05-23,蔬菜,元/斤
华北,1.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-05-16,蔬菜,元/斤
华北,2.20,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-05-08,蔬菜,元/斤
华北,1.70,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-05-03,蔬菜,元/斤
华北,2.70,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-05-02,蔬菜,元/斤
华北,2.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-04-28,蔬菜,元/斤
华北,3.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-04-27,蔬菜,元/斤
华北,2.20,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-04-25,蔬菜,元/斤
华北,2.20,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西红柿,内蒙古,none,2018-04-24,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-08-24,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-08-23,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-08-22,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-08-20,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-08-15,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-08-08,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-08-07,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-08-06,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-08-03,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-08-02,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-08-01,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-07-31,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-07-15,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-05-29,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-05-25,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-05-24,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-05-16,蔬菜,元/斤
华北,1.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-05-08,蔬菜,元/斤
华北,1.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-05-03,蔬菜,元/斤
华北,1.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-05-02,蔬菜,元/斤
华北,1.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-04-28,蔬菜,元/斤
华北,1.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-04-27,蔬菜,元/斤
华北,1.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-04-25,蔬菜,元/斤
华北,1.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-04-24,蔬菜,元/斤
华北,1.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,冬瓜,内蒙古,none,2018-04-20,蔬菜,元/斤
华北,1.10,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-08-24,蔬菜,元/斤
华北,1.20,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-08-23,蔬菜,元/斤
华北,1.20,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-08-22,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-08-20,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-08-15,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-08-13,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-08-08,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-08-07,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-08-06,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-08-03,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-08-02,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-08-01,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-07-31,蔬菜,元/斤
华北,0.90,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-07-15,蔬菜,元/斤
华北,2.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-05-29,蔬菜,元/斤
华北,2.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-05-25,蔬菜,元/斤
华北,2.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-05-24,蔬菜,元/斤
华北,1.70,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-05-23,蔬菜,元/斤
华北,1.70,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-05-22,蔬菜,元/斤
华北,1.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-05-16,蔬菜,元/斤
华北,1.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-05-08,蔬菜,元/斤
华北,1.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-05-03,蔬菜,元/斤
华北,1.70,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-05-02,蔬菜,元/斤
华北,1.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-04-28,蔬菜,元/斤
华北,1.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,芹菜,内蒙古,none,2018-04-27,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-24,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-23,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-22,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-20,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-15,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-13,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-09,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-08,蔬菜,元/斤
华北,0.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-07,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-06,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-03,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-02,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-08-01,蔬菜,元/斤
华北,0.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-07-31,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-07-15,蔬菜,元/斤
华北,1.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-05-29,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-05-25,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-05-24,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-05-23,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-05-22,蔬菜,元/斤
华北,1.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-05-16,蔬菜,元/斤
华北,1.60,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-05-15,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-05-14,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-05-08,蔬菜,元/斤
华北,0.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,白萝卜,内蒙古,none,2018-05-03,蔬菜,元/斤
华北,1.50,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,韭菜,内蒙古,none,2018-08-24,蔬菜,元/斤
华北,1.20,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,韭菜,内蒙古,none,2018-08-23,蔬菜,元/斤
华北,1.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,韭菜,内蒙古,none,2018-08-22,蔬菜,元/斤
华北,2.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,韭菜,内蒙古,none,2018-08-20,蔬菜,元/斤
华北,2.00,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,韭菜,内蒙古,none,2018-08-15,蔬菜,元/斤
华北,1.80,none,2018-08-26,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,韭菜,内蒙古,none,2018-08-13,蔬菜,元/斤
