area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,1.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.80,长茄子,湖北,none,2017-12-08,蔬菜,元/斤
华中,1.85,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.70,长茄子,湖北,none,2017-12-07,蔬菜,元/斤
华中,1.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.80,1.60,长茄子,湖北,none,2017-12-05,蔬菜,元/斤
华中,1.60,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.70,1.50,长茄子,湖北,none,2017-12-04,蔬菜,元/斤
华中,1.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.40,长茄子,湖北,none,2017-12-02,蔬菜,元/斤
华中,1.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.40,长茄子,湖北,none,2017-12-01,蔬菜,元/斤
华中,1.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.40,长茄子,湖北,none,2017-11-30,蔬菜,元/斤
华中,1.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.40,长茄子,湖北,none,2017-11-29,蔬菜,元/斤
华中,1.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.40,长茄子,湖北,none,2017-11-28,蔬菜,元/斤
华中,1.40,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.20,长茄子,湖北,none,2017-11-27,蔬菜,元/斤
华中,1.40,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.20,长茄子,湖北,none,2017-11-26,蔬菜,元/斤
华中,1.40,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.20,长茄子,湖北,none,2017-11-23,蔬菜,元/斤
华中,1.40,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.20,长茄子,湖北,none,2017-11-22,蔬菜,元/斤
华中,1.40,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.20,长茄子,湖北,none,2017-11-21,蔬菜,元/斤
华中,1.40,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.20,长茄子,湖北,none,2017-11-20,蔬菜,元/斤
华中,1.40,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.20,长茄子,湖北,none,2017-11-19,蔬菜,元/斤
华中,1.40,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.20,长茄子,湖北,none,2017-11-16,蔬菜,元/斤
华中,1.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.70,1.30,长茄子,湖北,none,2017-11-14,蔬菜,元/斤
华中,1.75,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.50,长茄子,湖北,none,2017-11-12,蔬菜,元/斤
华中,1.75,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.50,长茄子,湖北,none,2017-11-11,蔬菜,元/斤
华中,1.75,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.50,长茄子,湖北,none,2017-11-10,蔬菜,元/斤
华中,1.75,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.50,长茄子,湖北,none,2017-11-09,蔬菜,元/斤
华中,1.75,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.50,长茄子,湖北,none,2017-11-08,蔬菜,元/斤
华中,1.75,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.50,长茄子,湖北,none,2017-11-07,蔬菜,元/斤
华中,1.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.90,1.50,长茄子,湖北,none,2017-11-06,蔬菜,元/斤
华中,3.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,3.60,3.40,豇豆,湖北,none,2017-12-08,蔬菜,元/斤
华中,3.40,none,2018-08-25,襄阳市洪沟农副产品有限公司,3.50,3.30,豇豆,湖北,none,2017-12-07,蔬菜,元/斤
华中,3.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,3.30,3.10,豇豆,湖北,none,2017-12-05,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.60,豇豆,湖北,none,2017-12-02,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.60,豇豆,湖北,none,2017-12-01,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.60,豇豆,湖北,none,2017-11-30,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.60,豇豆,湖北,none,2017-11-29,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.60,豇豆,湖北,none,2017-11-28,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.60,豇豆,湖北,none,2017-11-27,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.60,豇豆,湖北,none,2017-11-26,蔬菜,元/斤
华中,2.60,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.70,2.50,豇豆,湖北,none,2017-11-23,蔬菜,元/斤
华中,2.60,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.70,2.50,豇豆,湖北,none,2017-11-22,蔬菜,元/斤
华中,2.60,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.70,2.50,豇豆,湖北,none,2017-11-21,蔬菜,元/斤
华中,2.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.70,2.40,豇豆,湖北,none,2017-11-20,蔬菜,元/斤
华中,2.60,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.70,2.50,豇豆,湖北,none,2017-11-19,蔬菜,元/斤
华中,2.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.70,2.30,豇豆,湖北,none,2017-11-16,蔬菜,元/斤
华中,2.75,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.70,豇豆,湖北,none,2017-11-14,蔬菜,元/斤
华中,2.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,3.00,2.80,豇豆,湖北,none,2017-11-12,蔬菜,元/斤
华中,2.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.70,豇豆,湖北,none,2017-11-11,蔬菜,元/斤
华中,2.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.70,豇豆,湖北,none,2017-11-10,蔬菜,元/斤
华中,2.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,3.00,2.80,豇豆,湖北,none,2017-11-09,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.60,豇豆,湖北,none,2017-11-08,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.60,豇豆,湖北,none,2017-11-07,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.60,豇豆,湖北,none,2017-11-06,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.60,豇豆,湖北,none,2017-11-04,蔬菜,元/斤
华中,1.30,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.40,1.20,莴笋,湖北,none,2017-12-08,蔬菜,元/斤
华中,1.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.30,1.10,莴笋,湖北,none,2017-12-07,蔬菜,元/斤
华中,1.00,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.10,0.90,莴笋,湖北,none,2017-12-05,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,莴笋,湖北,none,2017-12-04,蔬菜,元/斤
华中,0.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.90,0.70,莴笋,湖北,none,2017-12-02,蔬菜,元/斤
华中,0.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.90,0.70,莴笋,湖北,none,2017-12-01,蔬菜,元/斤
华中,0.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.90,0.70,莴笋,湖北,none,2017-11-30,蔬菜,元/斤
华中,0.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.90,0.70,莴笋,湖北,none,2017-11-29,蔬菜,元/斤
华中,0.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.90,0.70,莴笋,湖北,none,2017-11-28,蔬菜,元/斤
华中,0.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.90,0.70,莴笋,湖北,none,2017-11-27,蔬菜,元/斤
华中,0.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.90,0.70,莴笋,湖北,none,2017-11-26,蔬菜,元/斤
华中,0.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.90,0.70,莴笋,湖北,none,2017-11-25,蔬菜,元/斤
华中,0.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.90,0.70,莴笋,湖北,none,2017-11-23,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,莴笋,湖北,none,2017-11-22,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,莴笋,湖北,none,2017-11-21,蔬菜,元/斤
华中,1.00,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.10,0.90,莴笋,湖北,none,2017-11-20,蔬菜,元/斤
华中,1.00,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.10,0.90,莴笋,湖北,none,2017-11-19,蔬菜,元/斤
华中,1.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.40,1.00,莴笋,湖北,none,2017-11-16,蔬菜,元/斤
华中,1.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.40,1.00,莴笋,湖北,none,2017-11-14,蔬菜,元/斤
华中,1.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.40,1.00,莴笋,湖北,none,2017-11-13,蔬菜,元/斤
华中,1.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.40,1.00,莴笋,湖北,none,2017-11-12,蔬菜,元/斤
华中,1.30,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.50,1.10,莴笋,湖北,none,2017-11-11,蔬菜,元/斤
华中,1.30,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.50,1.10,莴笋,湖北,none,2017-11-10,蔬菜,元/斤
华中,1.30,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.50,1.10,莴笋,湖北,none,2017-11-09,蔬菜,元/斤
华中,1.30,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.50,1.10,莴笋,湖北,none,2017-11-08,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-12-08,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-12-07,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-12-06,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-12-05,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-12-04,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-12-02,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-12-01,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-30,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-29,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-28,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-27,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-26,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-25,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-24,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-23,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-22,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-21,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-20,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-19,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-17,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-16,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-15,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-14,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-13,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.90,2.50,木耳菜,湖北,none,2017-11-12,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-12-08,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-12-07,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-12-05,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-12-04,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-12-02,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-12-01,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-11-30,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-11-29,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-11-28,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-11-27,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-11-26,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-11-25,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-11-23,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-11-22,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-11-21,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-11-20,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-11-19,蔬菜,元/斤
华中,1.55,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.60,1.50,莲藕,湖北,none,2017-11-16,蔬菜,元/斤
华中,1.60,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.70,1.50,莲藕,湖北,none,2017-11-14,蔬菜,元/斤
华中,1.60,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.70,1.50,莲藕,湖北,none,2017-11-13,蔬菜,元/斤
华中,1.60,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.70,1.50,莲藕,湖北,none,2017-11-12,蔬菜,元/斤
华中,1.60,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.70,1.50,莲藕,湖北,none,2017-11-11,蔬菜,元/斤
华中,1.60,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.70,1.50,莲藕,湖北,none,2017-11-10,蔬菜,元/斤
华中,1.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.80,1.60,莲藕,湖北,none,2017-11-09,蔬菜,元/斤
华中,1.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.80,1.60,莲藕,湖北,none,2017-11-08,蔬菜,元/斤
华中,2.40,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.50,2.30,西兰花,湖北,none,2017-12-08,蔬菜,元/斤
华中,2.40,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.50,2.30,西兰花,湖北,none,2017-12-07,蔬菜,元/斤
华中,2.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.30,2.10,西兰花,湖北,none,2017-12-05,蔬菜,元/斤
华中,2.10,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.20,2.00,西兰花,湖北,none,2017-12-04,蔬菜,元/斤
华中,1.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.80,西兰花,湖北,none,2017-12-02,蔬菜,元/斤
华中,1.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.80,西兰花,湖北,none,2017-12-01,蔬菜,元/斤
华中,1.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.80,西兰花,湖北,none,2017-11-30,蔬菜,元/斤
华中,1.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.80,西兰花,湖北,none,2017-11-29,蔬菜,元/斤
华中,1.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.80,西兰花,湖北,none,2017-11-28,蔬菜,元/斤
华中,1.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.80,西兰花,湖北,none,2017-11-27,蔬菜,元/斤
华中,1.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.00,1.80,西兰花,湖北,none,2017-11-26,蔬菜,元/斤
华中,2.00,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.10,1.90,西兰花,湖北,none,2017-11-23,蔬菜,元/斤
华中,2.00,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.10,1.90,西兰花,湖北,none,2017-11-22,蔬菜,元/斤
华中,2.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.30,2.10,西兰花,湖北,none,2017-11-21,蔬菜,元/斤
华中,2.30,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.50,2.10,西兰花,湖北,none,2017-11-20,蔬菜,元/斤
华中,2.35,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.50,2.20,西兰花,湖北,none,2017-11-19,蔬菜,元/斤
华中,2.25,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.40,2.10,西兰花,湖北,none,2017-11-16,蔬菜,元/斤
华中,2.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.40,2.00,西兰花,湖北,none,2017-11-14,蔬菜,元/斤
华中,2.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,2.80,2.20,西兰花,湖北,none,2017-11-12,蔬菜,元/斤
华中,2.70,none,2018-08-25,襄阳市洪沟农副产品有限公司,3.00,2.40,西兰花,湖北,none,2017-11-11,蔬菜,元/斤
华中,2.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,3.00,2.60,西兰花,湖北,none,2017-11-10,蔬菜,元/斤
华中,2.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,3.10,2.70,西兰花,湖北,none,2017-11-09,蔬菜,元/斤
华中,3.00,none,2018-08-25,襄阳市洪沟农副产品有限公司,3.30,2.70,西兰花,湖北,none,2017-11-08,蔬菜,元/斤
华中,3.00,none,2018-08-25,襄阳市洪沟农副产品有限公司,3.30,2.70,西兰花,湖北,none,2017-11-07,蔬菜,元/斤
华中,3.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,3.50,2.90,西兰花,湖北,none,2017-11-06,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-12-08,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-12-07,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-12-05,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-12-02,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-12-01,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-11-30,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-11-29,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-11-28,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-11-27,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-11-26,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-11-23,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-11-22,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-11-21,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-11-20,蔬菜,元/斤
华中,5.20,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,3.90,香菇,湖北,none,2017-11-19,蔬菜,元/斤
华中,5.25,none,2018-08-25,襄阳市洪沟农副产品有限公司,6.50,4.00,香菇,湖北,none,2017-11-16,蔬菜,元/斤
华中,5.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,7.00,4.00,香菇,湖北,none,2017-11-14,蔬菜,元/斤
华中,5.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,7.00,4.00,香菇,湖北,none,2017-11-12,蔬菜,元/斤
华中,5.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,7.00,4.00,香菇,湖北,none,2017-11-11,蔬菜,元/斤
华中,5.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,7.00,4.00,香菇,湖北,none,2017-11-10,蔬菜,元/斤
华中,5.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,7.00,4.00,香菇,湖北,none,2017-11-09,蔬菜,元/斤
华中,5.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,7.00,4.00,香菇,湖北,none,2017-11-08,蔬菜,元/斤
华中,5.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,7.00,4.00,香菇,湖北,none,2017-11-06,蔬菜,元/斤
华中,5.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,7.00,4.00,香菇,湖北,none,2017-11-04,蔬菜,元/斤
华中,5.50,none,2018-08-25,襄阳市洪沟农副产品有限公司,7.00,4.00,香菇,湖北,none,2017-11-03,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,南瓜,湖北,none,2017-12-08,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,南瓜,湖北,none,2017-12-07,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,南瓜,湖北,none,2017-12-05,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,南瓜,湖北,none,2017-12-04,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,南瓜,湖北,none,2017-12-02,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,南瓜,湖北,none,2017-12-01,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,南瓜,湖北,none,2017-11-30,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,南瓜,湖北,none,2017-11-29,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,南瓜,湖北,none,2017-11-28,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,南瓜,湖北,none,2017-11-27,蔬菜,元/斤
华中,0.90,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.80,南瓜,湖北,none,2017-11-26,蔬菜,元/斤
华中,0.85,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.70,南瓜,湖北,none,2017-11-23,蔬菜,元/斤
华中,0.85,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.70,南瓜,湖北,none,2017-11-22,蔬菜,元/斤
华中,0.85,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.70,南瓜,湖北,none,2017-11-21,蔬菜,元/斤
华中,0.85,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.70,南瓜,湖北,none,2017-11-20,蔬菜,元/斤
华中,0.85,none,2018-08-25,襄阳市洪沟农副产品有限公司,1.00,0.70,南瓜,湖北,none,2017-11-19,蔬菜,元/斤
华中,0.80,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.90,0.70,南瓜,湖北,none,2017-11-16,蔬菜,元/斤
华中,0.75,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.80,0.70,南瓜,湖北,none,2017-11-14,蔬菜,元/斤
华中,0.75,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.80,0.70,南瓜,湖北,none,2017-11-12,蔬菜,元/斤
华中,0.75,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.80,0.70,南瓜,湖北,none,2017-11-11,蔬菜,元/斤
华中,0.75,none,2018-08-25,襄阳市洪沟农副产品有限公司,0.80,0.70,南瓜,湖北,none,2017-11-10,蔬菜,元/斤
