area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华南,1.80,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.90,1.70,生菜,广西,none,2018-08-18,蔬菜,元/斤
华南,1.80,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.90,1.70,生菜,广西,none,2018-08-17,蔬菜,元/斤
华南,1.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.80,1.60,生菜,广西,none,2018-08-15,蔬菜,元/斤
华南,1.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.80,1.60,生菜,广西,none,2018-08-13,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,生菜,广西,none,2018-08-12,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,生菜,广西,none,2018-08-11,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,生菜,广西,none,2018-08-09,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,生菜,广西,none,2018-08-08,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,生菜,广西,none,2018-08-07,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,生菜,广西,none,2018-08-06,蔬菜,元/斤
华南,1.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.80,1.60,生菜,广西,none,2018-08-05,蔬菜,元/斤
华南,1.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.80,1.60,生菜,广西,none,2018-08-04,蔬菜,元/斤
华南,1.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.80,1.60,生菜,广西,none,2018-08-03,蔬菜,元/斤
华南,1.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.80,1.60,生菜,广西,none,2018-08-02,蔬菜,元/斤
华南,1.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.80,1.60,生菜,广西,none,2018-08-01,蔬菜,元/斤
华南,1.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.80,1.60,生菜,广西,none,2018-07-31,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,生菜,广西,none,2018-07-15,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,生菜,广西,none,2018-07-14,蔬菜,元/斤
华南,1.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.80,1.60,生菜,广西,none,2018-07-07,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,生菜,广西,none,2018-07-01,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,生菜,广西,none,2018-06-23,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,生菜,广西,none,2018-06-10,蔬菜,元/斤
华南,1.40,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.50,1.30,生菜,广西,none,2018-06-03,蔬菜,元/斤
华南,1.40,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.50,1.30,生菜,广西,none,2018-05-31,蔬菜,元/斤
华南,1.40,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.50,1.30,生菜,广西,none,2018-05-29,蔬菜,元/斤
华南,2.90,none,2018-08-24,广西南宁五里亭蔬菜批发市场,3.00,2.80,大蒜,广西,none,2018-08-18,蔬菜,元/斤
华南,2.90,none,2018-08-24,广西南宁五里亭蔬菜批发市场,3.00,2.80,大蒜,广西,none,2018-08-15,蔬菜,元/斤
华南,2.90,none,2018-08-24,广西南宁五里亭蔬菜批发市场,3.00,2.80,大蒜,广西,none,2018-08-13,蔬菜,元/斤
华南,2.80,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.90,2.70,大蒜,广西,none,2018-08-12,蔬菜,元/斤
华南,2.80,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.90,2.70,大蒜,广西,none,2018-08-11,蔬菜,元/斤
华南,2.80,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.90,2.70,大蒜,广西,none,2018-08-09,蔬菜,元/斤
华南,2.75,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.85,2.65,大蒜,广西,none,2018-08-08,蔬菜,元/斤
华南,2.75,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.85,2.65,大蒜,广西,none,2018-08-07,蔬菜,元/斤
华南,2.75,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.85,2.65,大蒜,广西,none,2018-08-06,蔬菜,元/斤
华南,2.75,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.85,2.65,大蒜,广西,none,2018-08-05,蔬菜,元/斤
华南,2.75,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.85,2.65,大蒜,广西,none,2018-08-04,蔬菜,元/斤
华南,2.75,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.85,2.65,大蒜,广西,none,2018-08-03,蔬菜,元/斤
华南,2.75,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.85,2.65,大蒜,广西,none,2018-08-02,蔬菜,元/斤
华南,2.75,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.85,2.65,大蒜,广西,none,2018-08-01,蔬菜,元/斤
华南,2.75,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.85,2.65,大蒜,广西,none,2018-07-31,蔬菜,元/斤
华南,2.90,none,2018-08-24,广西南宁五里亭蔬菜批发市场,3.00,2.80,大蒜,广西,none,2018-07-15,蔬菜,元/斤
华南,2.90,none,2018-08-24,广西南宁五里亭蔬菜批发市场,3.00,2.80,大蒜,广西,none,2018-07-14,蔬菜,元/斤
华南,2.75,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.85,2.65,大蒜,广西,none,2018-07-07,蔬菜,元/斤
华南,2.75,none,2018-08-24,广西南宁五里亭蔬菜批发市场,3.00,2.50,大蒜,广西,none,2018-07-01,蔬菜,元/斤
华南,2.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.60,2.40,大蒜,广西,none,2018-06-23,蔬菜,元/斤
华南,2.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.60,2.40,大蒜,广西,none,2018-06-10,蔬菜,元/斤
华南,2.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.60,2.40,大蒜,广西,none,2018-06-03,蔬菜,元/斤
华南,2.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.70,2.50,大蒜,广西,none,2018-05-29,蔬菜,元/斤
华南,2.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.70,2.50,大蒜,广西,none,2018-05-25,蔬菜,元/斤
华南,2.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.70,2.50,大蒜,广西,none,2018-05-24,蔬菜,元/斤
华南,0.65,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.70,0.60,冬瓜,广西,none,2018-08-18,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-08-15,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-08-12,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-08-11,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-08-08,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-08-07,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-08-06,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-08-05,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-08-04,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-08-03,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-08-02,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-08-01,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-07-31,蔬菜,元/斤
华南,0.55,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.60,0.50,冬瓜,广西,none,2018-07-15,蔬菜,元/斤
华南,0.55,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.60,0.50,冬瓜,广西,none,2018-07-14,蔬菜,元/斤
华南,0.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.55,0.45,冬瓜,广西,none,2018-06-23,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-06-10,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-06-03,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-05-29,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-05-25,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,冬瓜,广西,none,2018-05-24,蔬菜,元/斤
华南,0.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.75,0.65,冬瓜,广西,none,2018-05-20,蔬菜,元/斤
华南,0.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.75,0.65,冬瓜,广西,none,2018-05-16,蔬菜,元/斤
华南,0.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.75,0.65,冬瓜,广西,none,2018-05-12,蔬菜,元/斤
华南,0.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.75,0.65,冬瓜,广西,none,2018-05-08,蔬菜,元/斤
华南,1.40,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.50,1.30,茄子,广西,none,2018-08-18,蔬菜,元/斤
华南,1.40,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.50,1.30,茄子,广西,none,2018-08-15,蔬菜,元/斤
华南,1.40,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.50,1.30,茄子,广西,none,2018-08-12,蔬菜,元/斤
华南,1.40,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.50,1.30,茄子,广西,none,2018-08-11,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.40,1.20,茄子,广西,none,2018-08-08,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.40,1.20,茄子,广西,none,2018-08-07,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.40,1.20,茄子,广西,none,2018-08-06,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.40,1.20,茄子,广西,none,2018-08-05,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.40,1.20,茄子,广西,none,2018-08-04,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.40,1.20,茄子,广西,none,2018-08-03,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.40,1.20,茄子,广西,none,2018-08-02,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.40,1.20,茄子,广西,none,2018-08-01,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.40,1.20,茄子,广西,none,2018-07-31,蔬菜,元/斤
华南,1.20,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.30,1.10,茄子,广西,none,2018-07-15,蔬菜,元/斤
华南,1.20,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.30,1.10,茄子,广西,none,2018-07-14,蔬菜,元/斤
华南,1.20,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.30,1.10,茄子,广西,none,2018-07-01,蔬菜,元/斤
华南,1.10,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.20,1.00,茄子,广西,none,2018-06-23,蔬菜,元/斤
华南,1.20,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.30,1.10,茄子,广西,none,2018-06-10,蔬菜,元/斤
华南,1.10,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.20,1.00,茄子,广西,none,2018-06-03,蔬菜,元/斤
华南,1.10,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.20,1.00,茄子,广西,none,2018-05-29,蔬菜,元/斤
华南,1.20,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.30,1.10,茄子,广西,none,2018-05-25,蔬菜,元/斤
华南,1.20,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.30,1.10,茄子,广西,none,2018-05-24,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.40,1.20,茄子,广西,none,2018-05-20,蔬菜,元/斤
华南,1.40,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.50,1.30,茄子,广西,none,2018-05-16,蔬菜,元/斤
华南,1.40,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.50,1.30,茄子,广西,none,2018-05-12,蔬菜,元/斤
华南,0.65,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.70,0.60,白萝卜,广西,none,2018-08-18,蔬菜,元/斤
华南,0.65,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.70,0.60,白萝卜,广西,none,2018-08-15,蔬菜,元/斤
华南,0.65,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.70,0.60,白萝卜,广西,none,2018-08-13,蔬菜,元/斤
华南,0.65,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.70,0.60,白萝卜,广西,none,2018-08-12,蔬菜,元/斤
华南,0.65,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.70,0.60,白萝卜,广西,none,2018-08-11,蔬菜,元/斤
华南,0.65,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.70,0.60,白萝卜,广西,none,2018-08-09,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,白萝卜,广西,none,2018-08-08,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,白萝卜,广西,none,2018-08-07,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,白萝卜,广西,none,2018-08-06,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,白萝卜,广西,none,2018-08-05,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,白萝卜,广西,none,2018-08-04,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,白萝卜,广西,none,2018-08-03,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,白萝卜,广西,none,2018-08-02,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,白萝卜,广西,none,2018-08-01,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,白萝卜,广西,none,2018-07-31,蔬菜,元/斤
华南,0.55,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.60,0.50,白萝卜,广西,none,2018-07-15,蔬菜,元/斤
华南,0.55,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.60,0.50,白萝卜,广西,none,2018-07-14,蔬菜,元/斤
华南,0.55,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.60,0.50,白萝卜,广西,none,2018-07-07,蔬菜,元/斤
华南,0.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.55,0.45,白萝卜,广西,none,2018-07-01,蔬菜,元/斤
华南,0.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.55,0.45,白萝卜,广西,none,2018-06-23,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,白萝卜,广西,none,2018-06-10,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,白萝卜,广西,none,2018-06-03,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.65,0.55,白萝卜,广西,none,2018-05-29,蔬菜,元/斤
华南,0.65,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.70,0.60,白萝卜,广西,none,2018-05-25,蔬菜,元/斤
华南,0.65,none,2018-08-24,广西南宁五里亭蔬菜批发市场,0.70,0.60,白萝卜,广西,none,2018-05-24,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-18,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-15,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-13,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-12,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-11,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-09,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-08,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-07,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-06,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-05,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-04,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-03,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-02,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-08-01,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-07-31,蔬菜,元/斤
华南,1.90,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.00,1.80,大葱,广西,none,2018-07-15,蔬菜,元/斤
华南,1.90,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.00,1.80,大葱,广西,none,2018-07-14,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-07-07,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-07-01,蔬菜,元/斤
华南,1.80,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.90,1.70,大葱,广西,none,2018-06-23,蔬菜,元/斤
华南,1.80,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.90,1.70,大葱,广西,none,2018-06-10,蔬菜,元/斤
华南,1.80,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.90,1.70,大葱,广西,none,2018-06-03,蔬菜,元/斤
华南,1.90,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.00,1.80,大葱,广西,none,2018-05-29,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-05-25,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.10,1.90,大葱,广西,none,2018-05-24,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,韭菜,广西,none,2018-08-18,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,韭菜,广西,none,2018-08-15,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,韭菜,广西,none,2018-08-13,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-08-12,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-08-11,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-08-09,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-08-08,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-08-07,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-08-06,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-08-05,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-08-04,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-08-03,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-08-02,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-08-01,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-07-31,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-07-15,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-07-14,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-07-07,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-07-01,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.40,1.20,韭菜,广西,none,2018-06-23,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-06-10,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-06-03,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-05-29,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-05-25,蔬菜,元/斤
华南,1.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.60,1.40,韭菜,广西,none,2018-05-24,蔬菜,元/斤
华南,2.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.60,2.40,青椒,广西,none,2018-08-18,蔬菜,元/斤
华南,2.50,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.60,2.40,青椒,广西,none,2018-08-15,蔬菜,元/斤
华南,2.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.40,2.20,青椒,广西,none,2018-08-12,蔬菜,元/斤
华南,2.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.40,2.20,青椒,广西,none,2018-08-11,蔬菜,元/斤
华南,2.20,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.30,2.10,青椒,广西,none,2018-08-08,蔬菜,元/斤
华南,2.20,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.30,2.10,青椒,广西,none,2018-08-07,蔬菜,元/斤
华南,2.20,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.30,2.10,青椒,广西,none,2018-08-06,蔬菜,元/斤
华南,2.10,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.20,2.00,青椒,广西,none,2018-08-05,蔬菜,元/斤
华南,2.10,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.20,2.00,青椒,广西,none,2018-08-04,蔬菜,元/斤
华南,2.10,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.20,2.00,青椒,广西,none,2018-08-03,蔬菜,元/斤
华南,2.10,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.20,2.00,青椒,广西,none,2018-08-02,蔬菜,元/斤
华南,1.90,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.00,1.80,青椒,广西,none,2018-08-01,蔬菜,元/斤
华南,1.90,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.00,1.80,青椒,广西,none,2018-07-31,蔬菜,元/斤
华南,1.80,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.90,1.70,青椒,广西,none,2018-07-15,蔬菜,元/斤
华南,1.80,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.90,1.70,青椒,广西,none,2018-07-14,蔬菜,元/斤
华南,1.80,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.90,1.70,青椒,广西,none,2018-07-07,蔬菜,元/斤
华南,1.60,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.70,1.50,青椒,广西,none,2018-07-01,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.40,1.20,青椒,广西,none,2018-06-23,蔬菜,元/斤
华南,1.70,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.80,1.60,青椒,广西,none,2018-06-10,蔬菜,元/斤
华南,1.80,none,2018-08-24,广西南宁五里亭蔬菜批发市场,1.90,1.70,青椒,广西,none,2018-06-03,蔬菜,元/斤
华南,1.90,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.00,1.80,青椒,广西,none,2018-05-29,蔬菜,元/斤
华南,1.90,none,2018-08-24,广西南宁五里亭蔬菜批发市场,2.00,1.80,青椒,广西,none,2018-05-25,蔬菜,元/斤
