area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,0.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.50,0.20,菠菜,山东,none,2018-04-20,蔬菜,元/斤
华东,0.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.50,0.20,菠菜,山东,none,2018-04-17,蔬菜,元/斤
华东,0.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.50,0.20,菠菜,山东,none,2018-04-08,蔬菜,元/斤
华东,0.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.50,0.20,菠菜,山东,none,2018-04-06,蔬菜,元/斤
华东,0.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.50,0.20,菠菜,山东,none,2018-03-30,蔬菜,元/斤
华东,0.65,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.75,0.60,菠菜,山东,none,2018-03-22,蔬菜,元/斤
华东,0.95,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.00,0.80,菠菜,山东,none,2018-03-14,蔬菜,元/斤
华东,0.95,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.00,0.80,菠菜,山东,none,2018-03-07,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.00,0.80,菠菜,山东,none,2018-02-28,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-05-20,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-05-15,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-05-10,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-05-09,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-05-08,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-05-04,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-05-03,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-05-02,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-05-01,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-04-29,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-04-28,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-04-26,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-04-25,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-04-23,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-04-20,蔬菜,元/斤
华东,0.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.25,0.10,菠菜,山东,none,2017-04-18,蔬菜,元/斤
华东,1.25,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.00,豆角,山东,none,2018-08-12,蔬菜,元/斤
华东,1.25,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.00,豆角,山东,none,2018-08-06,蔬菜,元/斤
华东,1.25,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.00,豆角,山东,none,2018-08-03,蔬菜,元/斤
华东,1.25,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.00,豆角,山东,none,2018-08-02,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-12-20,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-12-17,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-12-09,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-12-07,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-30,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-29,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-27,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-23,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-22,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-20,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-16,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-14,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-10,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-09,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-08,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-07,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-06,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-03,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-11-01,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-10-26,蔬菜,元/斤
华东,1.10,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,1.00,豆角,山东,none,2017-10-25,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-03-09,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-03-04,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-03-03,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-03-02,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-03-01,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-28,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-27,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-26,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-24,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-23,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-22,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-21,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-20,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-17,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-16,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-15,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-14,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-02-13,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-01-25,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-01-21,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-01-19,蔬菜,元/斤
华东,7.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.50,5.00,大蒜,山东,none,2017-01-18,蔬菜,元/斤
华东,6.50,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.00,4.00,大蒜,山东,none,2017-01-16,蔬菜,元/斤
华东,6.50,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.00,4.00,大蒜,山东,none,2017-01-15,蔬菜,元/斤
华东,6.50,none,2018-08-25,山东青岛平度南村蔬菜批发市场,7.00,4.00,大蒜,山东,none,2017-01-13,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2018-01-27,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2018-01-24,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2018-01-23,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2018-01-17,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2018-01-15,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2018-01-11,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2018-01-10,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2018-01-07,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2018-01-05,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2018-01-04,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2018-01-01,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-12-28,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-12-20,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-12-17,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-12-09,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-12-07,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-12-04,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-11-30,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-11-29,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-11-27,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-11-23,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-11-22,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-11-20,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-11-16,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.10,0.70,菜花,山东,none,2017-11-14,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-29,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-27,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-25,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-24,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-23,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-17,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-15,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-11,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-10,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-07,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-05,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-04,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-03,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2018-01-01,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2017-12-28,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2017-12-20,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2017-12-17,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2017-12-09,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2017-12-07,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2017-12-06,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2017-12-04,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2017-11-30,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2017-11-29,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2017-11-27,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.50,白萝卜,山东,none,2017-11-23,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.60,1.00,青椒,山东,none,2018-08-12,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.60,1.00,青椒,山东,none,2018-08-06,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.60,1.00,青椒,山东,none,2018-08-03,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.60,1.00,青椒,山东,none,2018-08-02,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.10,青椒,山东,none,2018-01-27,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.10,青椒,山东,none,2018-01-24,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.10,青椒,山东,none,2018-01-15,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.10,青椒,山东,none,2018-01-11,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.10,青椒,山东,none,2018-01-10,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.10,青椒,山东,none,2018-01-07,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.10,青椒,山东,none,2018-01-05,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.10,青椒,山东,none,2018-01-04,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.10,青椒,山东,none,2018-01-01,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,1.10,青椒,山东,none,2017-12-28,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,0.50,青椒,山东,none,2017-12-20,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,0.50,青椒,山东,none,2017-12-17,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,0.50,青椒,山东,none,2017-12-09,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,0.50,青椒,山东,none,2017-12-07,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,0.50,青椒,山东,none,2017-12-04,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,0.50,青椒,山东,none,2017-11-30,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,0.50,青椒,山东,none,2017-11-29,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,0.50,青椒,山东,none,2017-11-27,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,0.50,青椒,山东,none,2017-11-23,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,0.50,青椒,山东,none,2017-11-22,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.20,0.50,青椒,山东,none,2017-11-20,蔬菜,元/斤
华东,0.60,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.70,0.30,大葱,山东,none,2018-08-12,蔬菜,元/斤
华东,0.60,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.70,0.30,大葱,山东,none,2018-08-06,蔬菜,元/斤
华东,0.60,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.70,0.30,大葱,山东,none,2018-08-03,蔬菜,元/斤
华东,0.60,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.70,0.30,大葱,山东,none,2018-08-02,蔬菜,元/斤
华东,0.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.35,0.20,大葱,山东,none,2018-05-06,蔬菜,元/斤
华东,0.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.40,0.20,大葱,山东,none,2018-04-20,蔬菜,元/斤
华东,0.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.40,0.20,大葱,山东,none,2018-04-17,蔬菜,元/斤
华东,0.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.40,0.20,大葱,山东,none,2018-04-08,蔬菜,元/斤
华东,0.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.40,0.20,大葱,山东,none,2018-04-06,蔬菜,元/斤
华东,0.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.40,0.20,大葱,山东,none,2018-03-30,蔬菜,元/斤
华东,0.65,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.75,0.60,大葱,山东,none,2018-03-22,蔬菜,元/斤
华东,1.25,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.30,1.10,大葱,山东,none,2018-03-14,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.30,1.10,大葱,山东,none,2018-02-28,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.60,大葱,山东,none,2018-01-29,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.60,大葱,山东,none,2018-01-27,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.60,大葱,山东,none,2018-01-25,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.60,大葱,山东,none,2018-01-24,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.60,大葱,山东,none,2018-01-23,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.60,大葱,山东,none,2018-01-17,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.60,大葱,山东,none,2018-01-15,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.60,大葱,山东,none,2018-01-11,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.60,大葱,山东,none,2018-01-10,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.60,大葱,山东,none,2018-01-07,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.60,大葱,山东,none,2018-01-05,蔬菜,元/斤
华东,0.75,none,2018-08-25,山东青岛平度南村蔬菜批发市场,0.90,0.60,大葱,山东,none,2018-01-04,蔬菜,元/斤
华东,0.80,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.00,0.50,黄瓜,山东,none,2018-08-12,蔬菜,元/斤
华东,0.80,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.00,0.50,黄瓜,山东,none,2018-08-06,蔬菜,元/斤
华东,0.80,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.00,0.50,黄瓜,山东,none,2018-08-03,蔬菜,元/斤
华东,0.80,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.00,0.50,黄瓜,山东,none,2018-08-02,蔬菜,元/斤
华东,1.70,none,2018-08-25,山东青岛平度南村蔬菜批发市场,2.00,1.50,黄瓜,山东,none,2018-05-06,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-12-20,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-12-17,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-12-09,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-12-07,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-12-04,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-11-30,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-11-29,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-11-27,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-11-23,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-11-22,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-11-20,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-11-16,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-11-14,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-11-10,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-11-09,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-11-08,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东青岛平度南村蔬菜批发市场,1.50,0.40,黄瓜,山东,none,2017-11-07,蔬菜,元/斤
