area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,1.45,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.60,1.30,青椒,河北,none,2018-01-18,蔬菜,元/斤
华北,1.45,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.60,1.30,青椒,河北,none,2018-01-17,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-11-08,蔬菜,元/斤
华北,0.95,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.10,0.80,青椒,河北,none,2017-11-07,蔬菜,元/斤
华北,0.95,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.10,0.80,青椒,河北,none,2017-11-06,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-10-23,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-10-15,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-10-14,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-10-13,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-10-12,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-10-09,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-10-05,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-10-03,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-10-02,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-10-01,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-09-29,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-09-28,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-09-27,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-09-26,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-09-25,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-09-24,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-09-23,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-09-22,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-09-21,蔬菜,元/斤
华北,0.75,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.60,青椒,河北,none,2017-09-20,蔬菜,元/斤
华北,1.00,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,0.80,黄瓜,河北,none,2018-01-18,蔬菜,元/斤
华北,1.00,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,0.80,黄瓜,河北,none,2018-01-17,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-11-08,蔬菜,元/斤
华北,1.15,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.30,1.00,黄瓜,河北,none,2017-11-07,蔬菜,元/斤
华北,1.15,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.30,1.00,黄瓜,河北,none,2017-11-06,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-10-23,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-10-15,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-10-14,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-10-13,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-10-12,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-10-09,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-10-05,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-10-03,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-10-02,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-10-01,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-09-29,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-09-28,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-09-27,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-09-26,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-09-25,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-09-24,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-09-23,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-09-22,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-09-21,蔬菜,元/斤
华北,1.10,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,1.00,黄瓜,河北,none,2017-09-20,蔬菜,元/斤
华北,0.50,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.60,0.40,芹菜,河北,none,2018-01-18,蔬菜,元/斤
华北,0.50,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.60,0.40,芹菜,河北,none,2018-01-17,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-11-08,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,芹菜,河北,none,2017-11-07,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,芹菜,河北,none,2017-11-06,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-10-23,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-10-15,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-10-14,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-10-13,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-10-12,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-10-09,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-10-05,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-10-03,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-10-02,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-10-01,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-09-29,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-09-28,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-09-27,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-09-26,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-09-25,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-09-24,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-09-23,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-09-22,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-09-21,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,芹菜,河北,none,2017-09-20,蔬菜,元/斤
华北,0.85,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,0.50,西红柿,河北,none,2018-01-18,蔬菜,元/斤
华北,0.85,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.20,0.50,西红柿,河北,none,2018-01-17,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-11-08,蔬菜,元/斤
华北,0.85,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.00,0.70,西红柿,河北,none,2017-11-07,蔬菜,元/斤
华北,0.85,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.00,0.70,西红柿,河北,none,2017-11-06,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-10-23,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-10-15,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-10-14,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-10-13,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-10-12,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-10-09,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-10-05,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-10-03,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-10-02,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-10-01,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-09-29,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-09-28,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-09-27,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-09-26,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-09-25,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-09-24,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-09-23,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-09-22,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-09-21,蔬菜,元/斤
华北,0.60,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.90,0.40,西红柿,河北,none,2017-09-20,蔬菜,元/斤
华北,0.45,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.60,0.30,土豆,河北,none,2018-01-18,蔬菜,元/斤
华北,0.45,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.60,0.30,土豆,河北,none,2018-01-17,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-11-08,蔬菜,元/斤
华北,0.57,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.65,0.50,土豆,河北,none,2017-11-07,蔬菜,元/斤
华北,0.57,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.65,0.50,土豆,河北,none,2017-11-06,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-10-23,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-10-15,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-10-14,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-10-13,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-10-12,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-10-09,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-10-05,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-10-03,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-10-02,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-10-01,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-09-29,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-09-28,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-09-27,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-09-26,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-09-25,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-09-24,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-09-23,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-09-22,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-09-21,蔬菜,元/斤
华北,0.40,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.50,0.30,土豆,河北,none,2017-09-20,蔬菜,元/斤
华北,0.22,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.30,0.15,大白菜,河北,none,2018-01-18,蔬菜,元/斤
华北,0.22,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.30,0.15,大白菜,河北,none,2018-01-17,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-11-08,蔬菜,元/斤
华北,0.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.30,0.20,大白菜,河北,none,2017-11-07,蔬菜,元/斤
华北,0.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.30,0.20,大白菜,河北,none,2017-11-06,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-10-23,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-10-15,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-10-14,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-10-13,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-10-12,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-10-09,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-10-05,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-10-03,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-10-02,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-10-01,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-09-29,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-09-28,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-09-27,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-09-26,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-09-25,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-09-24,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-09-23,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-09-22,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-09-21,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.70,0.70,大白菜,河北,none,2017-09-20,蔬菜,元/斤
华北,1.65,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.10,1.20,茴香,河北,none,2018-01-18,蔬菜,元/斤
华北,1.65,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.10,1.20,茴香,河北,none,2018-01-17,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-11-08,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.70,0.80,茴香,河北,none,2017-11-07,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.70,0.80,茴香,河北,none,2017-11-06,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-10-23,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-10-15,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-10-14,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-10-13,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-10-12,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-10-09,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-10-05,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-10-03,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-10-02,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-10-01,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-09-29,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-09-28,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-09-27,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-09-26,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-09-25,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-09-24,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-09-23,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-09-22,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-09-21,蔬菜,元/斤
华北,1.80,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,2.00,1.50,茴香,河北,none,2017-09-20,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-11-08,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,空心菜,河北,none,2017-11-07,蔬菜,元/斤
华北,1.25,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,1.50,1.00,空心菜,河北,none,2017-11-06,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-10-23,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-10-15,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-10-14,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-10-13,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-10-12,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-10-09,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-10-05,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-10-03,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-10-02,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-10-01,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-09-29,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-09-28,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-09-27,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-09-26,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-09-25,蔬菜,元/斤
华北,0.70,none,2018-08-25,永年县农产品蔬菜产业集团有限公司,0.80,0.60,空心菜,河北,none,2017-09-24,蔬菜,元/斤
