area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-18,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-13,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-12,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-08,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-07,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-06,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-03,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-02,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-08-01,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-07-31,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-07-14,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,土豆,天津,none,2018-06-23,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,土豆,天津,none,2018-05-29,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,土豆,天津,none,2018-05-25,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,土豆,天津,none,2018-05-24,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,土豆,天津,none,2018-05-23,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,土豆,天津,none,2018-05-22,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-16,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-15,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-14,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-08,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-06,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-03,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-05-02,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.70,土豆,天津,none,2018-04-30,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.50,大白菜,天津,none,2018-08-18,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.50,大白菜,天津,none,2018-08-17,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.50,大白菜,天津,none,2018-08-13,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-08-12,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-08-08,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-08-07,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.70,0.60,大白菜,天津,none,2018-08-06,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.70,0.60,大白菜,天津,none,2018-08-03,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.70,0.60,大白菜,天津,none,2018-08-02,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.70,0.60,大白菜,天津,none,2018-08-01,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.70,0.60,大白菜,天津,none,2018-07-31,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.50,大白菜,天津,none,2018-07-14,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大白菜,天津,none,2018-06-23,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.70,0.60,大白菜,天津,none,2018-05-29,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-05-25,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-05-24,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-05-23,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.80,0.60,大白菜,天津,none,2018-05-22,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.60,0.40,大白菜,天津,none,2018-05-16,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.60,0.40,大白菜,天津,none,2018-05-15,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.60,0.40,大白菜,天津,none,2018-05-14,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2018-05-08,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2018-05-07,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2018-05-06,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,0.50,0.30,大白菜,天津,none,2018-05-04,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.60,1.30,大葱,天津,none,2018-08-18,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.60,1.30,大葱,天津,none,2018-08-13,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.60,1.30,大葱,天津,none,2018-08-12,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-08-08,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-08-07,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-08-06,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-08-03,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-08-02,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-08-01,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-07-31,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.40,1.00,大葱,天津,none,2018-07-14,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,大葱,天津,none,2018-06-23,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,大葱,天津,none,2018-05-29,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-25,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-24,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-23,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-22,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-16,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-15,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-08,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-06,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-03,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-05-02,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-04-26,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,大葱,天津,none,2018-04-25,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,韭菜,天津,none,2018-08-18,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,韭菜,天津,none,2018-08-13,蔬菜,元/斤
华北,2.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.50,韭菜,天津,none,2018-08-12,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,韭菜,天津,none,2018-08-08,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,韭菜,天津,none,2018-08-07,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,2.00,韭菜,天津,none,2018-08-06,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,2.00,韭菜,天津,none,2018-08-03,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,2.00,韭菜,天津,none,2018-08-02,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,2.00,韭菜,天津,none,2018-08-01,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,2.00,韭菜,天津,none,2018-07-31,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,韭菜,天津,none,2018-07-14,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,韭菜,天津,none,2018-06-23,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,韭菜,天津,none,2018-05-29,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,韭菜,天津,none,2018-05-25,蔬菜,元/斤
华北,1.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.60,韭菜,天津,none,2018-05-24,蔬菜,元/斤
华北,1.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.60,韭菜,天津,none,2018-05-23,蔬菜,元/斤
华北,1.80,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.60,韭菜,天津,none,2018-05-22,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,韭菜,天津,none,2018-05-16,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,韭菜,天津,none,2018-05-15,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,韭菜,天津,none,2018-05-14,蔬菜,元/斤
华北,0.90,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.80,韭菜,天津,none,2018-05-08,蔬菜,元/斤
华北,0.90,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.80,韭菜,天津,none,2018-05-07,蔬菜,元/斤
华北,0.90,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.80,韭菜,天津,none,2018-05-06,蔬菜,元/斤
华北,0.90,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.00,0.80,韭菜,天津,none,2018-05-03,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.20,0.80,韭菜,天津,none,2018-05-02,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,青椒,天津,none,2018-08-18,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.80,2.30,青椒,天津,none,2018-08-12,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.80,2.30,青椒,天津,none,2018-08-08,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.80,2.30,青椒,天津,none,2018-08-07,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,青椒,天津,none,2018-08-06,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,青椒,天津,none,2018-08-03,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,青椒,天津,none,2018-08-02,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,青椒,天津,none,2018-08-01,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,青椒,天津,none,2018-07-31,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.20,青椒,天津,none,2018-07-14,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.70,0.80,青椒,天津,none,2018-06-23,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.20,青椒,天津,none,2018-05-29,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,青椒,天津,none,2018-05-25,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,青椒,天津,none,2018-05-24,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.60,青椒,天津,none,2018-05-16,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.60,青椒,天津,none,2018-05-08,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.30,青椒,天津,none,2018-05-06,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.30,青椒,天津,none,2018-05-03,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.30,青椒,天津,none,2018-05-02,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.30,青椒,天津,none,2018-04-26,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.30,青椒,天津,none,2018-04-25,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.30,青椒,天津,none,2018-04-24,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.30,青椒,天津,none,2018-04-22,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.30,青椒,天津,none,2018-04-21,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.30,青椒,天津,none,2018-04-19,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,黄瓜,天津,none,2018-08-18,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,黄瓜,天津,none,2018-08-12,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,黄瓜,天津,none,2018-08-08,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,黄瓜,天津,none,2018-08-07,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,黄瓜,天津,none,2018-08-06,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,黄瓜,天津,none,2018-08-03,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,黄瓜,天津,none,2018-08-02,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,黄瓜,天津,none,2018-08-01,蔬菜,元/斤
华北,3.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.50,2.50,黄瓜,天津,none,2018-07-31,蔬菜,元/斤
华北,1.40,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.00,黄瓜,天津,none,2018-07-14,蔬菜,元/斤
华北,1.10,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.30,1.00,黄瓜,天津,none,2018-06-23,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.00,黄瓜,天津,none,2018-05-29,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,黄瓜,天津,none,2018-05-25,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,黄瓜,天津,none,2018-05-24,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.60,黄瓜,天津,none,2018-05-16,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.60,黄瓜,天津,none,2018-05-08,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,黄瓜,天津,none,2018-05-06,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,黄瓜,天津,none,2018-05-03,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,黄瓜,天津,none,2018-05-02,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,黄瓜,天津,none,2018-04-26,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,黄瓜,天津,none,2018-04-25,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,黄瓜,天津,none,2018-04-24,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,黄瓜,天津,none,2018-04-22,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,黄瓜,天津,none,2018-04-21,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,黄瓜,天津,none,2018-04-19,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-08-18,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-08-13,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-08-12,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.00,芹菜,天津,none,2018-08-08,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.00,芹菜,天津,none,2018-08-07,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-08-06,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-08-03,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-08-02,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-08-01,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-07-31,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,2.00,芹菜,天津,none,2018-07-14,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,芹菜,天津,none,2018-06-23,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.30,芹菜,天津,none,2018-05-29,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,3.00,2.30,芹菜,天津,none,2018-05-25,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.20,芹菜,天津,none,2018-05-24,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.20,芹菜,天津,none,2018-05-23,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.20,芹菜,天津,none,2018-05-22,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-05-16,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-05-15,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-05-08,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.20,芹菜,天津,none,2018-05-06,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.20,芹菜,天津,none,2018-05-03,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-05-02,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,芹菜,天津,none,2018-04-26,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,芹菜,天津,none,2018-04-25,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,西红柿,天津,none,2018-08-18,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.80,1.30,西红柿,天津,none,2018-08-12,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.80,1.30,西红柿,天津,none,2018-08-08,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.80,1.30,西红柿,天津,none,2018-08-07,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.80,1.30,西红柿,天津,none,2018-08-06,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.80,1.30,西红柿,天津,none,2018-08-03,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.80,1.30,西红柿,天津,none,2018-08-02,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.80,1.30,西红柿,天津,none,2018-08-01,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.80,1.30,西红柿,天津,none,2018-07-31,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.90,1.50,西红柿,天津,none,2018-07-14,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.50,1.80,西红柿,天津,none,2018-06-23,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,西红柿,天津,none,2018-05-29,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,西红柿,天津,none,2018-05-25,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,西红柿,天津,none,2018-05-24,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,西红柿,天津,none,2018-05-23,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.50,1.20,西红柿,天津,none,2018-05-16,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.30,西红柿,天津,none,2018-05-08,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,西红柿,天津,none,2018-05-06,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津市南开区红旗农贸综合批发市场,1.80,1.30,西红柿,天津,none,2018-05-03,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,西红柿,天津,none,2018-05-02,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,西红柿,天津,none,2018-04-26,蔬菜,元/斤
华北,1.70,none,2018-08-25,天津市南开区红旗农贸综合批发市场,2.00,1.50,西红柿,天津,none,2018-04-25,蔬菜,元/斤
