area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-18,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-15,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-13,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-12,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-11,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-08,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-07,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.35,芹菜,河南,none,2018-08-06,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.35,芹菜,河南,none,2018-08-05,蔬菜,元/斤
华中,1.55,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.40,芹菜,河南,none,2018-08-04,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.65,1.35,芹菜,河南,none,2018-08-03,蔬菜,元/斤
华中,1.45,none,2018-08-25,河南商丘市农产品中心批发市场,1.60,1.30,芹菜,河南,none,2018-08-02,蔬菜,元/斤
华中,1.30,none,2018-08-25,河南商丘市农产品中心批发市场,1.50,1.10,芹菜,河南,none,2018-08-01,蔬菜,元/斤
华中,1.30,none,2018-08-25,河南商丘市农产品中心批发市场,1.50,1.10,芹菜,河南,none,2018-07-31,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.10,0.75,芹菜,河南,none,2018-07-15,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.10,0.75,芹菜,河南,none,2018-07-14,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,芹菜,河南,none,2018-07-07,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.00,芹菜,河南,none,2018-07-01,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.35,芹菜,河南,none,2018-06-23,蔬菜,元/斤
华中,2.35,none,2018-08-25,河南商丘市农产品中心批发市场,2.50,2.15,芹菜,河南,none,2018-06-10,蔬菜,元/斤
华中,2.00,none,2018-08-25,河南商丘市农产品中心批发市场,2.15,1.85,芹菜,河南,none,2018-06-03,蔬菜,元/斤
华中,2.00,none,2018-08-25,河南商丘市农产品中心批发市场,2.15,1.85,芹菜,河南,none,2018-05-29,蔬菜,元/斤
华中,1.80,none,2018-08-25,河南商丘市农产品中心批发市场,1.95,1.60,芹菜,河南,none,2018-05-25,蔬菜,元/斤
华中,1.80,none,2018-08-25,河南商丘市农产品中心批发市场,1.95,1.60,芹菜,河南,none,2018-05-24,蔬菜,元/斤
华中,1.80,none,2018-08-25,河南商丘市农产品中心批发市场,1.95,1.60,芹菜,河南,none,2018-05-23,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,西红柿,河南,none,2018-08-18,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,西红柿,河南,none,2018-08-15,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.45,1.10,西红柿,河南,none,2018-08-12,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.45,1.10,西红柿,河南,none,2018-08-11,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.45,1.10,西红柿,河南,none,2018-08-08,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.45,1.10,西红柿,河南,none,2018-08-07,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.90,西红柿,河南,none,2018-08-06,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,西红柿,河南,none,2018-08-05,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,西红柿,河南,none,2018-08-04,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,西红柿,河南,none,2018-08-03,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.25,0.90,西红柿,河南,none,2018-08-02,蔬菜,元/斤
华中,1.30,none,2018-08-25,河南商丘市农产品中心批发市场,1.50,1.10,西红柿,河南,none,2018-08-01,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.35,西红柿,河南,none,2018-07-31,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.10,西红柿,河南,none,2018-07-15,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.10,西红柿,河南,none,2018-07-14,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.00,西红柿,河南,none,2018-07-07,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.10,0.75,西红柿,河南,none,2018-07-01,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.80,西红柿,河南,none,2018-06-23,蔬菜,元/斤
华中,0.80,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.65,西红柿,河南,none,2018-06-10,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,西红柿,河南,none,2018-06-03,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,西红柿,河南,none,2018-05-29,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,1.00,西红柿,河南,none,2018-05-25,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,1.00,西红柿,河南,none,2018-05-24,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,1.00,西红柿,河南,none,2018-05-23,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,1.00,西红柿,河南,none,2018-05-20,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-18,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-15,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-13,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-12,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-11,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-09,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-08,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-07,蔬菜,元/斤
华中,0.95,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.80,土豆,河南,none,2018-08-06,蔬菜,元/斤
华中,0.95,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.80,土豆,河南,none,2018-08-05,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,土豆,河南,none,2018-08-04,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,土豆,河南,none,2018-08-03,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,土豆,河南,none,2018-08-02,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,土豆,河南,none,2018-08-01,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,土豆,河南,none,2018-07-31,蔬菜,元/斤
华中,0.80,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,土豆,河南,none,2018-07-15,蔬菜,元/斤
华中,0.80,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,土豆,河南,none,2018-07-14,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,土豆,河南,none,2018-07-07,蔬菜,元/斤
华中,0.80,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.65,土豆,河南,none,2018-07-01,蔬菜,元/斤
华中,0.95,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.80,土豆,河南,none,2018-06-23,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.25,0.90,土豆,河南,none,2018-06-10,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2018-06-03,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2018-05-29,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.00,土豆,河南,none,2018-05-25,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.00,土豆,河南,none,2018-05-24,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.65,大白菜,河南,none,2018-08-18,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.65,大白菜,河南,none,2018-08-17,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.65,大白菜,河南,none,2018-08-16,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.65,大白菜,河南,none,2018-08-15,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-08-13,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-08-12,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-08-11,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-08-09,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-08-08,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-08-07,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.90,0.60,大白菜,河南,none,2018-08-06,蔬菜,元/斤
华中,0.70,none,2018-08-25,河南商丘市农产品中心批发市场,0.90,0.55,大白菜,河南,none,2018-08-05,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,大白菜,河南,none,2018-08-04,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,大白菜,河南,none,2018-08-03,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,大白菜,河南,none,2018-08-02,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,大白菜,河南,none,2018-08-01,蔬菜,元/斤
华中,0.70,none,2018-08-25,河南商丘市农产品中心批发市场,0.90,0.50,大白菜,河南,none,2018-07-31,蔬菜,元/斤
华中,0.70,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-07-15,蔬菜,元/斤
华中,0.70,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-07-14,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,大白菜,河南,none,2018-07-07,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.10,0.75,大白菜,河南,none,2018-07-01,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,大白菜,河南,none,2018-06-23,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.35,大白菜,河南,none,2018-06-10,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,大白菜,河南,none,2018-06-03,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,大白菜,河南,none,2018-05-31,蔬菜,元/斤
华中,1.60,none,2018-08-25,河南商丘市农产品中心批发市场,1.75,1.40,莲藕,河南,none,2018-02-22,蔬菜,元/斤
华中,1.60,none,2018-08-25,河南商丘市农产品中心批发市场,1.75,1.40,莲藕,河南,none,2018-02-21,蔬菜,元/斤
华中,1.60,none,2018-08-25,河南商丘市农产品中心批发市场,1.75,1.40,莲藕,河南,none,2018-02-14,蔬菜,元/斤
华中,1.80,none,2018-08-25,河南商丘市农产品中心批发市场,1.95,1.60,莲藕,河南,none,2018-02-13,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.00,莲藕,河南,none,2018-02-11,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.25,0.90,莲藕,河南,none,2018-02-10,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.25,0.90,莲藕,河南,none,2018-02-09,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.25,0.90,莲藕,河南,none,2018-02-08,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.25,0.90,莲藕,河南,none,2018-02-06,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-02-05,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-02-04,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-02-03,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-02-02,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-02-01,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-01-31,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-01-30,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-01-28,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-01-27,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-01-26,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-01-24,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-01-23,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-01-20,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-01-19,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,莲藕,河南,none,2018-01-17,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.70,莲藕,河南,none,2018-01-15,蔬菜,元/斤
华中,1.55,none,2018-08-25,河南商丘市农产品中心批发市场,1.75,1.40,西葫芦,河南,none,2018-08-18,蔬菜,元/斤
华中,1.55,none,2018-08-25,河南商丘市农产品中心批发市场,1.75,1.40,西葫芦,河南,none,2018-08-15,蔬菜,元/斤
华中,1.30,none,2018-08-25,河南商丘市农产品中心批发市场,1.50,1.15,西葫芦,河南,none,2018-08-12,蔬菜,元/斤
华中,1.30,none,2018-08-25,河南商丘市农产品中心批发市场,1.50,1.15,西葫芦,河南,none,2018-08-11,蔬菜,元/斤
华中,1.30,none,2018-08-25,河南商丘市农产品中心批发市场,1.50,1.15,西葫芦,河南,none,2018-08-08,蔬菜,元/斤
华中,1.30,none,2018-08-25,河南商丘市农产品中心批发市场,1.50,1.15,西葫芦,河南,none,2018-08-07,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,西葫芦,河南,none,2018-08-06,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,西葫芦,河南,none,2018-08-05,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,西葫芦,河南,none,2018-08-04,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.05,西葫芦,河南,none,2018-08-03,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.10,西葫芦,河南,none,2018-08-02,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.25,0.90,西葫芦,河南,none,2018-08-01,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,西葫芦,河南,none,2018-07-31,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.45,1.10,西葫芦,河南,none,2018-07-15,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.45,1.10,西葫芦,河南,none,2018-07-14,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,西葫芦,河南,none,2018-06-23,蔬菜,元/斤
华中,1.40,none,2018-08-25,河南商丘市农产品中心批发市场,1.60,1.25,西葫芦,河南,none,2018-06-10,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.65,1.30,西葫芦,河南,none,2018-06-03,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.65,1.30,西葫芦,河南,none,2018-05-29,蔬菜,元/斤
华中,0.95,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.80,西葫芦,河南,none,2018-05-25,蔬菜,元/斤
华中,0.95,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.80,西葫芦,河南,none,2018-05-24,蔬菜,元/斤
华中,0.95,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.80,西葫芦,河南,none,2018-05-20,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,西葫芦,河南,none,2018-05-16,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,西葫芦,河南,none,2018-05-08,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,西葫芦,河南,none,2018-05-06,蔬菜,元/斤
华中,2.05,none,2018-08-25,河南商丘市农产品中心批发市场,2.25,1.90,生姜,河南,none,2017-01-26,蔬菜,元/斤
华中,2.05,none,2018-08-25,河南商丘市农产品中心批发市场,2.25,1.90,生姜,河南,none,2017-01-25,蔬菜,元/斤
华中,2.00,none,2018-08-25,河南商丘市农产品中心批发市场,2.25,1.93,生姜,河南,none,2017-01-22,蔬菜,元/斤
华中,2.05,none,2018-08-25,河南商丘市农产品中心批发市场,2.25,1.90,生姜,河南,none,2017-01-21,蔬菜,元/斤
华中,2.10,none,2018-08-25,河南商丘市农产品中心批发市场,2.25,1.90,生姜,河南,none,2017-01-20,蔬菜,元/斤
华中,2.10,none,2018-08-25,河南商丘市农产品中心批发市场,2.25,1.90,生姜,河南,none,2017-01-19,蔬菜,元/斤
华中,2.05,none,2018-08-25,河南商丘市农产品中心批发市场,2.25,1.90,生姜,河南,none,2017-01-18,蔬菜,元/斤
华中,2.05,none,2018-08-25,河南商丘市农产品中心批发市场,2.25,1.90,生姜,河南,none,2017-01-17,蔬菜,元/斤
华中,2.10,none,2018-08-25,河南商丘市农产品中心批发市场,2.30,1.90,生姜,河南,none,2017-01-16,蔬菜,元/斤
华中,2.15,none,2018-08-25,河南商丘市农产品中心批发市场,2.30,1.90,生姜,河南,none,2017-01-13,蔬菜,元/斤
华中,2.15,none,2018-08-25,河南商丘市农产品中心批发市场,2.30,1.90,生姜,河南,none,2017-01-12,蔬菜,元/斤
华中,2.15,none,2018-08-25,河南商丘市农产品中心批发市场,2.30,1.90,生姜,河南,none,2017-01-10,蔬菜,元/斤
华中,2.05,none,2018-08-25,河南商丘市农产品中心批发市场,2.25,1.85,生姜,河南,none,2017-01-09,蔬菜,元/斤
华中,2.00,none,2018-08-25,河南商丘市农产品中心批发市场,2.20,1.80,生姜,河南,none,2017-01-04,蔬菜,元/斤
华中,1.95,none,2018-08-25,河南商丘市农产品中心批发市场,2.20,1.80,生姜,河南,none,2017-01-03,蔬菜,元/斤
华中,3.10,none,2018-08-25,河南商丘市农产品中心批发市场,3.30,2.90,菠菜,河南,none,2018-07-15,蔬菜,元/斤
华中,3.10,none,2018-08-25,河南商丘市农产品中心批发市场,3.30,2.90,菠菜,河南,none,2018-07-14,蔬菜,元/斤
华中,2.55,none,2018-08-25,河南商丘市农产品中心批发市场,2.75,2.40,菠菜,河南,none,2018-07-07,蔬菜,元/斤
华中,2.25,none,2018-08-25,河南商丘市农产品中心批发市场,2.45,2.10,菠菜,河南,none,2018-07-01,蔬菜,元/斤
华中,2.50,none,2018-08-25,河南商丘市农产品中心批发市场,2.70,2.30,菠菜,河南,none,2018-06-23,蔬菜,元/斤
华中,2.50,none,2018-08-25,河南商丘市农产品中心批发市场,2.70,2.35,菠菜,河南,none,2018-06-10,蔬菜,元/斤
华中,2.25,none,2018-08-25,河南商丘市农产品中心批发市场,2.45,2.10,菠菜,河南,none,2018-06-03,蔬菜,元/斤
华中,2.25,none,2018-08-25,河南商丘市农产品中心批发市场,2.45,2.10,菠菜,河南,none,2018-05-31,蔬菜,元/斤
华中,2.25,none,2018-08-25,河南商丘市农产品中心批发市场,2.45,2.10,菠菜,河南,none,2018-05-29,蔬菜,元/斤
华中,1.85,none,2018-08-25,河南商丘市农产品中心批发市场,2.05,1.70,菠菜,河南,none,2018-05-25,蔬菜,元/斤
华中,1.85,none,2018-08-25,河南商丘市农产品中心批发市场,2.05,1.70,菠菜,河南,none,2018-05-24,蔬菜,元/斤
华中,1.85,none,2018-08-25,河南商丘市农产品中心批发市场,2.05,1.70,菠菜,河南,none,2018-05-23,蔬菜,元/斤
华中,1.85,none,2018-08-25,河南商丘市农产品中心批发市场,2.05,1.70,菠菜,河南,none,2018-05-22,蔬菜,元/斤
华中,1.85,none,2018-08-25,河南商丘市农产品中心批发市场,2.05,1.70,菠菜,河南,none,2018-05-20,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.45,菠菜,河南,none,2018-05-16,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.45,菠菜,河南,none,2018-05-15,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.45,菠菜,河南,none,2018-05-14,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.45,菠菜,河南,none,2018-05-08,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,菠菜,河南,none,2018-05-07,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,菠菜,河南,none,2018-05-06,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,菠菜,河南,none,2018-05-04,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,菠菜,河南,none,2018-05-03,蔬菜,元/斤
华中,0.80,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.60,菠菜,河南,none,2018-05-02,蔬菜,元/斤
华中,0.80,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.60,菠菜,河南,none,2018-05-01,蔬菜,元/斤
华中,0.80,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.60,菠菜,河南,none,2018-04-30,蔬菜,元/斤
华中,2.75,none,2018-08-25,河南商丘市农产品中心批发市场,2.95,2.60,生菜,河南,none,2018-08-18,蔬菜,元/斤
华中,2.75,none,2018-08-25,河南商丘市农产品中心批发市场,2.95,2.60,生菜,河南,none,2018-08-17,蔬菜,元/斤
华中,2.75,none,2018-08-25,河南商丘市农产品中心批发市场,2.95,2.60,生菜,河南,none,2018-08-15,蔬菜,元/斤
华中,2.40,none,2018-08-25,河南商丘市农产品中心批发市场,2.60,2.20,生菜,河南,none,2018-08-13,蔬菜,元/斤
华中,2.40,none,2018-08-25,河南商丘市农产品中心批发市场,2.60,2.20,生菜,河南,none,2018-08-12,蔬菜,元/斤
华中,2.40,none,2018-08-25,河南商丘市农产品中心批发市场,2.60,2.20,生菜,河南,none,2018-08-11,蔬菜,元/斤
华中,2.40,none,2018-08-25,河南商丘市农产品中心批发市场,2.60,2.20,生菜,河南,none,2018-08-09,蔬菜,元/斤
华中,2.40,none,2018-08-25,河南商丘市农产品中心批发市场,2.60,2.20,生菜,河南,none,2018-08-08,蔬菜,元/斤
华中,2.40,none,2018-08-25,河南商丘市农产品中心批发市场,2.60,2.20,生菜,河南,none,2018-08-07,蔬菜,元/斤
华中,2.30,none,2018-08-25,河南商丘市农产品中心批发市场,2.45,2.10,生菜,河南,none,2018-08-06,蔬菜,元/斤
华中,2.30,none,2018-08-25,河南商丘市农产品中心批发市场,2.45,2.10,生菜,河南,none,2018-08-05,蔬菜,元/斤
华中,2.30,none,2018-08-25,河南商丘市农产品中心批发市场,2.45,2.10,生菜,河南,none,2018-08-04,蔬菜,元/斤
华中,2.25,none,2018-08-25,河南商丘市农产品中心批发市场,2.40,2.10,生菜,河南,none,2018-08-03,蔬菜,元/斤
华中,2.30,none,2018-08-25,河南商丘市农产品中心批发市场,2.45,2.10,生菜,河南,none,2018-08-02,蔬菜,元/斤
华中,2.25,none,2018-08-25,河南商丘市农产品中心批发市场,2.40,2.10,生菜,河南,none,2018-08-01,蔬菜,元/斤
