area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
东北,4.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-25,蔬菜,元/斤
东北,4.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-24,蔬菜,元/斤
东北,4.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-23,蔬菜,元/斤
东北,4.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-22,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-21,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-20,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-18,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-15,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-12,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-11,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-09,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-08,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,茼蒿,辽宁,none,2018-08-07,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,8.00,4.00,茼蒿,辽宁,none,2018-08-06,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,8.00,4.00,茼蒿,辽宁,none,2018-08-05,蔬菜,元/斤
东北,7.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,8.00,4.00,茼蒿,辽宁,none,2018-08-04,蔬菜,元/斤
东北,7.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,8.00,4.00,茼蒿,辽宁,none,2018-08-03,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,6.00,3.00,茼蒿,辽宁,none,2018-08-02,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,6.00,3.00,茼蒿,辽宁,none,2018-08-01,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,6.00,3.00,茼蒿,辽宁,none,2018-07-31,蔬菜,元/斤
东北,4.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,6.00,3.00,茼蒿,辽宁,none,2018-07-15,蔬菜,元/斤
东北,4.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,5.00,3.00,茼蒿,辽宁,none,2018-07-14,蔬菜,元/斤
东北,3.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,4.00,3.00,茼蒿,辽宁,none,2018-07-07,蔬菜,元/斤
东北,3.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.50,2.00,茼蒿,辽宁,none,2018-07-01,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,茼蒿,辽宁,none,2018-06-23,蔬菜,元/斤
东北,2.40,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,1.50,尖椒,辽宁,none,2018-08-25,蔬菜,元/斤
东北,2.40,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,1.50,尖椒,辽宁,none,2018-08-24,蔬菜,元/斤
东北,2.40,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,1.50,尖椒,辽宁,none,2018-08-23,蔬菜,元/斤
东北,1.90,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,1.50,尖椒,辽宁,none,2018-08-22,蔬菜,元/斤
东北,2.20,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,1.30,尖椒,辽宁,none,2018-08-20,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-08-18,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-08-15,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-08-12,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-08-11,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-08-08,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-08-07,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-08-06,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-08-05,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-08-04,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-08-03,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-08-02,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-08-01,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.30,尖椒,辽宁,none,2018-07-31,蔬菜,元/斤
东北,1.90,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-07-15,蔬菜,元/斤
东北,1.90,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.30,尖椒,辽宁,none,2018-07-14,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,1.50,1.00,尖椒,辽宁,none,2018-07-07,蔬菜,元/斤
东北,1.30,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,1.50,1.00,尖椒,辽宁,none,2018-07-01,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,1.80,1.30,尖椒,辽宁,none,2018-06-23,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,1.80,1.30,尖椒,辽宁,none,2018-06-10,蔬菜,元/斤
东北,1.30,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,1.60,1.00,尖椒,辽宁,none,2018-06-03,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-08-15,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-08-12,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-08-11,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-08-09,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-08-08,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-08-07,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-08-06,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-08-05,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-08-04,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-08-03,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-08-02,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-08-01,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-07-31,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-07-15,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-07-14,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-07-07,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-07-01,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-06-23,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-06-03,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-05-29,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-05-25,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-05-24,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-05-23,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-05-22,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.50,4.50,山药,辽宁,none,2018-05-20,蔬菜,元/斤
东北,9.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,15.00,5.00,香菜,辽宁,none,2018-08-20,蔬菜,元/斤
东北,9.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,15.00,5.00,香菜,辽宁,none,2018-08-18,蔬菜,元/斤
东北,9.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,15.00,5.00,香菜,辽宁,none,2018-08-15,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,8.00,4.00,香菜,辽宁,none,2018-08-12,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,8.00,4.00,香菜,辽宁,none,2018-08-11,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,8.00,4.00,香菜,辽宁,none,2018-08-09,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,香菜,辽宁,none,2018-08-08,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,香菜,辽宁,none,2018-08-07,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,香菜,辽宁,none,2018-08-06,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,香菜,辽宁,none,2018-08-05,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,香菜,辽宁,none,2018-08-04,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,香菜,辽宁,none,2018-08-03,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,香菜,辽宁,none,2018-08-02,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,香菜,辽宁,none,2018-08-01,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,7.00,4.00,香菜,辽宁,none,2018-07-31,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.50,1.40,香菜,辽宁,none,2018-07-15,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.50,1.40,香菜,辽宁,none,2018-07-14,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,1.80,1.40,香菜,辽宁,none,2018-07-07,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,1.80,1.40,香菜,辽宁,none,2018-07-01,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.50,1.50,香菜,辽宁,none,2018-06-23,蔬菜,元/斤
东北,3.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.50,2.50,香菜,辽宁,none,2018-06-10,蔬菜,元/斤
东北,4.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,5.00,4.00,香菜,辽宁,none,2018-06-03,蔬菜,元/斤
东北,4.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,5.00,4.00,香菜,辽宁,none,2018-05-31,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.50,2.00,香菜,辽宁,none,2018-05-29,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.50,2.00,香菜,辽宁,none,2018-05-25,蔬菜,元/斤
东北,2.20,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,1.00,西葫芦,辽宁,none,2018-08-25,蔬菜,元/斤
东北,2.20,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,1.00,西葫芦,辽宁,none,2018-08-24,蔬菜,元/斤
东北,2.30,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,1.00,西葫芦,辽宁,none,2018-08-23,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-22,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-20,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-18,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-15,蔬菜,元/斤
东北,1.60,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-12,蔬菜,元/斤
东北,1.60,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-11,蔬菜,元/斤
东北,1.60,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-08,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-07,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-06,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-05,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-04,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-03,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-02,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-08-01,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,西葫芦,辽宁,none,2018-07-31,蔬菜,元/斤
东北,1.70,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-07-15,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.20,1.00,西葫芦,辽宁,none,2018-07-14,蔬菜,元/斤
东北,1.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,1.50,0.80,西葫芦,辽宁,none,2018-06-23,蔬菜,元/斤
东北,1.20,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,1.50,0.80,西葫芦,辽宁,none,2018-06-10,蔬菜,元/斤
东北,1.40,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,1.50,1.20,西葫芦,辽宁,none,2018-06-03,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.50,西葫芦,辽宁,none,2018-05-29,蔬菜,元/斤
东北,2.30,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.50,2.00,西葫芦,辽宁,none,2018-05-25,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,1.80,油菜,辽宁,none,2018-08-25,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,1.80,油菜,辽宁,none,2018-08-24,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,1.80,油菜,辽宁,none,2018-08-23,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.70,1.20,油菜,辽宁,none,2018-08-22,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.70,1.20,油菜,辽宁,none,2018-08-21,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.70,1.20,油菜,辽宁,none,2018-08-20,蔬菜,元/斤
东北,2.20,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.70,1.20,油菜,辽宁,none,2018-08-18,蔬菜,元/斤
东北,2.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.50,1.20,油菜,辽宁,none,2018-08-17,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-08-15,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-08-12,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-08-11,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-08-09,蔬菜,元/斤
东北,1.90,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-08-08,蔬菜,元/斤
东北,1.90,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-08-07,蔬菜,元/斤
东北,1.90,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-08-06,蔬菜,元/斤
东北,1.90,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-08-05,蔬菜,元/斤
东北,1.90,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-08-04,蔬菜,元/斤
东北,1.90,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-08-03,蔬菜,元/斤
东北,1.90,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-08-02,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-08-01,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,1.00,油菜,辽宁,none,2018-07-31,蔬菜,元/斤
东北,1.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,0.80,油菜,辽宁,none,2018-07-15,蔬菜,元/斤
东北,1.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,2.00,0.80,油菜,辽宁,none,2018-07-14,蔬菜,元/斤
东北,1.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,1.20,0.80,油菜,辽宁,none,2018-07-07,蔬菜,元/斤
东北,1.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,1.20,0.80,油菜,辽宁,none,2018-07-01,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-25,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-24,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-23,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-22,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-20,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-18,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-15,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-12,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-11,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-09,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-08,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-07,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-06,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-05,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-04,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-03,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-02,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-08-01,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-07-31,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-07-15,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-07-14,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-07-07,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-07-01,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-06-23,蔬菜,元/斤
东北,2.80,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,3.00,2.50,生姜,辽宁,none,2018-06-10,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,8.00,5.00,菠菜,辽宁,none,2018-08-25,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,8.00,5.00,菠菜,辽宁,none,2018-08-24,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,8.00,5.00,菠菜,辽宁,none,2018-08-23,蔬菜,元/斤
东北,6.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,8.00,5.00,菠菜,辽宁,none,2018-08-22,蔬菜,元/斤
东北,7.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,8.00,5.00,菠菜,辽宁,none,2018-08-21,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,6.00,3.00,菠菜,辽宁,none,2018-08-20,蔬菜,元/斤
东北,5.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,6.00,3.00,菠菜,辽宁,none,2018-08-18,蔬菜,元/斤
东北,4.00,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,5.00,3.00,菠菜,辽宁,none,2018-08-15,蔬菜,元/斤
东北,3.50,none,2018-08-28,青岛市抚顺路蔬菜副食品批发市场,5.00,3.00,菠菜,辽宁,none,2018-08-12,蔬菜,元/斤
